Episode 3/2000, Reward: -57.37478061740701 Cash: 9536.622943920567 
Episode 5/2000, Reward: -57.37478061740701 Cash: 9536.622943920567 
Episode 7/2000, Reward: -57.37478061740701 Cash: 9536.622943920567 
Episode 9/2000, Reward: -57.38243896537042 Cash: 9460.916654930525 
Episode 11/2000, Reward: -57.39592753742505 Cash: 9312.016787487988 
Episode 13/2000, Reward: -57.357854316538216 Cash: 9704.571874522633 
Episode 15/2000, Reward: -57.32884500907759 Cash: 9991.985016378025 
Episode 17/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 19/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 21/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 23/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 25/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 27/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 29/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 31/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 33/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 35/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 37/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 39/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 41/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 43/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 45/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 47/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 49/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 51/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 53/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 55/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 57/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 59/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 61/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 63/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 65/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 67/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 69/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 71/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 73/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 75/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 77/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 79/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 81/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 83/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 85/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 87/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 89/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 91/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 93/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 95/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 97/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 99/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 101/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 103/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 105/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 107/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 109/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 111/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 113/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 115/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 117/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 119/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 121/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 123/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 125/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 127/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 129/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 131/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 133/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 135/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 137/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 139/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 141/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 143/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 145/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 147/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 149/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 151/2000, Reward: -57.328019972509765 Cash: 10000.0 
Episode 153/2000, Reward: -57.328019972509765 Cash: 10000.0 
